PSNR_YYUV,SSIM (precise)_YYUV
assassin_st4_360p30fps.yuv,assassin_st4_360p30fps.yuv
v205_avc_3B/assassin_st4_360p30fps_25.264,v205_avc_3B/assassin_st4_360p30fps_25.264
AVG: 40.46610,AVG: 0.96487
39.99962,0.95137
40.03292,0.95165
40.03407,0.95167
39.97964,0.95180
39.90302,0.95149
39.86874,0.95256
39.81257,0.95225
39.82542,0.95262
39.83754,0.95257
39.86158,0.95254
39.72549,0.95263
39.77377,0.95314
39.78397,0.95307
39.80988,0.95329
39.69687,0.95245
39.75546,0.95284
39.76620,0.95287
39.80741,0.95315
39.73485,0.95242
39.76262,0.95272
39.73660,0.95266
39.80846,0.95291
39.72145,0.95218
39.77172,0.95268
39.75336,0.95263
39.82208,0.95270
39.72763,0.95198
39.75944,0.95223
39.73479,0.95230
39.80720,0.95268
39.72995,0.95211
39.78532,0.95253
39.76065,0.95241
39.83402,0.95250
39.69482,0.95131
39.98716,0.95489
39.87580,0.95376
39.97797,0.95481
39.59763,0.95022
39.57639,0.95009
39.95433,0.95487
39.48681,0.94889
39.45390,0.94834
39.48813,0.94864
39.84434,0.95232
39.54221,0.94879
39.66022,0.95036
40.00244,0.95491
40.00692,0.95494
40.21496,0.95767
40.21351,0.95857
40.08635,0.95869
40.70409,0.96531
40.20601,0.96030
40.58899,0.96442
40.23771,0.96039
40.82373,0.96623
41.17989,0.96679
40.98277,0.96497
41.15492,0.96609
40.87559,0.96440
40.78946,0.96420
40.52413,0.96214
40.58583,0.96271
40.58403,0.96272
40.56509,0.96288
40.32763,0.96120
40.34258,0.96107
40.80737,0.96447
40.59616,0.96289
40.36645,0.96044
40.36102,0.96043
40.88392,0.96517
40.32845,0.95975
40.87133,0.96494
40.71085,0.96326
40.49474,0.95980
40.59196,0.96165
40.17919,0.95732
40.44711,0.96044
40.23610,0.95718
40.22813,0.95792
39.99860,0.95519
39.85029,0.95378
39.95008,0.95461
40.03109,0.95642
39.73916,0.95308
39.66898,0.95349
39.82346,0.95476
39.69109,0.95338
39.67846,0.95341
39.71872,0.95430
39.77390,0.95427
39.94535,0.95724
39.61967,0.95300
39.60656,0.95316
39.87759,0.95571
39.57946,0.95279
39.65738,0.95278
39.63238,0.95288
40.10938,0.95736
39.78123,0.95432
39.89075,0.95451
39.69813,0.95321
40.03265,0.95703
39.70671,0.95366
40.15377,0.95960
39.82966,0.95600
39.70306,0.95337
40.16300,0.95873
39.97481,0.95677
39.97602,0.95655
39.79746,0.95398
39.94860,0.95516
39.89563,0.95469
39.86178,0.95449
39.77664,0.95362
41.01774,0.96316
41.01329,0.96317
40.98435,0.96308
40.01266,0.95552
40.03790,0.95584
39.96424,0.95535
39.93517,0.95518
39.86052,0.95456
39.92020,0.95489
39.86545,0.95445
39.84017,0.95427
39.75715,0.95361
39.83528,0.95406
39.79784,0.95386
39.76904,0.95355
39.68540,0.95299
39.80254,0.95347
39.76715,0.95327
39.73794,0.95308
39.64568,0.95243
39.70049,0.95265
39.67718,0.95241
39.65704,0.95227
39.60416,0.95194
39.73231,0.95300
39.68425,0.95251
39.78120,0.95360
39.64081,0.95227
39.88797,0.95515
39.75779,0.95377
39.91063,0.95591
39.74474,0.95367
39.50795,0.95015
39.45586,0.94870
39.44907,0.94872
39.61828,0.95022
39.65333,0.95041
39.39617,0.94711
39.64139,0.94934
39.62194,0.94925
39.61293,0.94980
39.62174,0.94974
39.62072,0.95008
39.96322,0.95449
39.87635,0.95341
39.88934,0.95345
39.67892,0.95088
40.04869,0.95482
40.00735,0.95467
40.07001,0.95491
39.66557,0.95069
39.92012,0.95288
39.93875,0.95303
39.89466,0.95211
39.53669,0.95032
39.91964,0.95422
39.76104,0.95243
39.90131,0.95412
39.50427,0.94943
39.99123,0.95472
40.20932,0.95560
40.30014,0.95621
39.91759,0.95287
40.03716,0.95428
39.80784,0.95280
39.84310,0.95279
39.63003,0.95102
39.75483,0.95146
39.74160,0.95137
39.73637,0.95111
39.61948,0.95045
39.66663,0.95071
39.65555,0.95053
39.63902,0.95029
39.56627,0.94978
39.62944,0.95029
39.59509,0.94988
39.60018,0.94992
39.57011,0.94985
39.64177,0.95071
39.37053,0.94831
39.19564,0.94562
39.15832,0.94596
39.54795,0.95039
39.13293,0.94626
39.17126,0.94642
39.10405,0.94726
39.56636,0.95283
39.17119,0.94890
39.29498,0.94926
39.28510,0.95024
39.82127,0.95609
39.42313,0.95190
39.57014,0.95306
39.44188,0.95230
40.02268,0.95819
39.62434,0.95382
39.52582,0.95350
39.85554,0.95786
39.77848,0.95563
40.33637,0.96241
39.99405,0.95840
40.07417,0.95960
39.79185,0.95554
39.97295,0.95722
39.89908,0.95670
39.85588,0.95626
39.87243,0.95508
39.95113,0.95582
39.89499,0.95537
39.84832,0.95498
39.79048,0.95430
39.87602,0.95508
39.81793,0.95466
39.77717,0.95421
39.70123,0.95356
39.82618,0.95446
39.78074,0.95424
39.71268,0.95364
39.68851,0.95322
41.04454,0.96279
40.97824,0.96245
40.96296,0.96220
39.98105,0.95539
40.02470,0.95581
39.97617,0.95545
39.86119,0.95549
39.81277,0.95505
39.85868,0.95551
39.83616,0.95534
39.77841,0.95491
39.75195,0.95462
40.00438,0.95609
39.99652,0.95609
39.95765,0.95576
39.33785,0.94959
39.39674,0.95005
39.38603,0.94997
39.39781,0.94998
39.37477,0.94981
39.41116,0.95011
39.40403,0.95008
39.39661,0.95006
39.38466,0.94994
39.42041,0.95021
39.41942,0.95020
39.41581,0.95016
39.38894,0.94995
39.42995,0.95026
39.41803,0.95019
39.42290,0.95020
39.39971,0.94997
39.45077,0.95035
39.42028,0.95011
39.42055,0.95012
39.41578,0.95010
39.58767,0.95320
39.52922,0.95221
39.39901,0.94892
39.70554,0.95418
39.36239,0.94893
39.72201,0.95457
39.61065,0.95323
39.48402,0.95091
39.60429,0.95176
39.71619,0.95361
39.71144,0.95340
39.54408,0.95147
39.65846,0.95209
39.64143,0.95201
39.60928,0.95179
39.57206,0.95153
39.67146,0.95219
39.64969,0.95217
39.63212,0.95201
39.56403,0.95159
39.64710,0.95208
39.61224,0.95183
39.56088,0.95198
39.50774,0.95154
40.78500,0.96110
40.78542,0.96117
40.81124,0.96138
39.80439,0.95438
39.83077,0.95450
39.81236,0.95440
39.77727,0.95417
39.72455,0.95374
39.76339,0.95398
39.72012,0.95366
39.72050,0.95367
39.69183,0.95347
39.73495,0.95373
39.68626,0.95336
39.69628,0.95341
39.65333,0.95308
39.70741,0.95356
39.66737,0.95332
39.65890,0.95319
39.62319,0.95247
39.67244,0.95281
39.64272,0.95264
39.64998,0.95265
39.58874,0.95209
39.63149,0.95247
39.57907,0.95207
39.59039,0.95208
39.59335,0.95172
39.72100,0.95311
39.59076,0.95234
39.60339,0.95246
39.56957,0.95224
39.54754,0.95251
39.36438,0.94991
39.32974,0.94961
39.63425,0.95188
39.97356,0.95675
39.80768,0.95473
39.43004,0.94959
39.91870,0.95544
39.81936,0.95392
39.92744,0.95512
39.58112,0.95125
39.72294,0.95213
39.80065,0.95259
39.80052,0.95250
39.64996,0.95140
39.76330,0.95197
39.79828,0.95239
39.79195,0.95221
39.66700,0.95141
39.77309,0.95209
39.78255,0.95228
39.77356,0.95233
39.58788,0.95068
40.01135,0.95549
39.75407,0.95249
39.88923,0.95408
39.51041,0.94995
40.00273,0.95595
40.12250,0.95645
39.78959,0.95267
39.62191,0.95121
40.02188,0.95574
39.42418,0.95041
39.67549,0.95366
39.42351,0.95209
39.39399,0.95078
39.75357,0.95460
39.53926,0.95228
39.68750,0.95362
39.41267,0.95102
39.60221,0.95244
39.56487,0.95214
39.55579,0.95200
39.43953,0.95095
39.55377,0.95172
39.48948,0.95126
39.47339,0.95106
39.40708,0.95065
39.52694,0.95139
39.47157,0.95108
39.45741,0.95086
39.39124,0.95045
39.49683,0.95108
39.44130,0.95070
39.43899,0.95056
39.38277,0.95024
39.43704,0.95054
39.42376,0.95059
39.41727,0.95054
39.38405,0.95040
39.47828,0.95116
39.43041,0.95086
39.43180,0.95084
39.39968,0.95058
39.46864,0.95102
39.43994,0.95090
39.43855,0.95074
39.41348,0.95049
39.48264,0.95092
39.45712,0.95070
39.46385,0.95078
39.43256,0.95047
39.51453,0.95107
39.48436,0.95086
39.47138,0.95081
39.44323,0.95059
39.51901,0.95118
39.48937,0.95101
39.47832,0.95091
39.45715,0.95072
39.52700,0.95129
39.50823,0.95112
39.50119,0.95116
39.49561,0.95099
39.54787,0.95144
39.50851,0.95116
39.50758,0.95123
39.50973,0.95111
40.70972,0.95999
40.69399,0.95998
40.69039,0.95999
39.66071,0.95157
39.73978,0.95386
39.63174,0.95324
39.31641,0.94928
39.77134,0.95468
39.57428,0.95202
39.62775,0.95291
39.35204,0.94956
39.80382,0.95491
39.71335,0.95295
39.81423,0.95392
39.52299,0.95042
39.71219,0.95209
39.73110,0.95203
39.73748,0.95191
39.59325,0.95069
39.67941,0.95157
39.66846,0.95132
39.67793,0.95134
39.63639,0.95088
39.75118,0.95179
39.75417,0.95158
39.75430,0.95150
39.69068,0.95104
39.78963,0.95207
39.72841,0.95144
39.72384,0.95157
39.63580,0.95092
39.75092,0.95189
39.71124,0.95140
39.70844,0.95126
39.66369,0.95088
39.75576,0.95171
39.72636,0.95137
39.75566,0.95153
39.69546,0.95099
39.72774,0.95136
39.71840,0.95113
39.74424,0.95129
39.66061,0.95055
39.77013,0.95138
39.67857,0.95324
39.68314,0.95342
39.62843,0.95282
39.68541,0.95332
39.68964,0.95339
39.68147,0.95332
39.61581,0.95271
39.67946,0.95322
39.64098,0.95284
39.65839,0.95305
39.60642,0.95257
39.68454,0.95336
39.66531,0.95325
39.67226,0.95329
39.61045,0.95276
39.68705,0.95333
40.75483,0.96106
40.80085,0.96128
40.71745,0.96088
39.85139,0.95378
39.85166,0.95394
39.85291,0.95393
39.78070,0.95341
39.83305,0.95382
39.80747,0.95370
39.78969,0.95351
39.72495,0.95302
39.79558,0.95354
39.76727,0.95343
39.76058,0.95343
39.67890,0.95282
39.75460,0.95331
39.74174,0.95334
39.73555,0.95324
39.65699,0.95266
39.72974,0.95307
39.71255,0.95300
39.70393,0.95288
39.58685,0.95202
39.66044,0.95253
39.77874,0.95340
39.46881,0.95154
39.49868,0.95165
39.51237,0.95179
39.55410,0.95218
39.50581,0.95176
39.53987,0.95200
39.51819,0.95196
39.55979,0.95216
39.49074,0.95167
39.54072,0.95183
39.52512,0.95170
39.56453,0.95211
39.49416,0.95160
39.51409,0.95164
39.51058,0.95178
39.56667,0.95216
39.48426,0.95155
39.49585,0.95160
39.48044,0.95161
39.52390,0.95194
39.46780,0.95163
39.50610,0.95181
39.48133,0.95171
39.50574,0.95218
39.39477,0.95131
39.67175,0.95417
39.62795,0.95350
39.62307,0.95402
39.29376,0.95044
39.52672,0.95376
39.59311,0.95466
39.18953,0.95013
39.37859,0.95246
39.10263,0.94901
39.49993,0.95355
39.37276,0.95093
39.66684,0.95460
39.50552,0.95280
39.85225,0.95602
39.31652,0.95200
39.29915,0.95158
39.31955,0.95172
39.57759,0.95381
39.51514,0.95277
39.41867,0.95238
39.41720,0.95236
39.66512,0.95462
39.49880,0.95271
39.48282,0.95248
39.86858,0.95635
40.37379,0.96155
40.26055,0.96071
40.41115,0.96196
