,0
assassin_st4_360p30fps_25.h264,1043.84
assassin_st4_360p30fps_28.h264,694.607
assassin_st4_360p30fps_31.h264,473.5
assassin_st4_360p30fps_34.h264,313.122
assassin_st4_360p30fps_37.h264,211.883
assassin_st4_360p30fps_40.h264,139.688
assassin_st4_360p30fps_43.h264,94.9061
assassin_st4_360p30fps_48.h264,45.8053
bitrate.csv,0
PSNR_SSIM_assassin_st4_360p30fps_25.csv,4.32799
PSNR_SSIM_assassin_st4_360p30fps_28.csv,4.32799
PSNR_SSIM_assassin_st4_360p30fps_31.csv,4.32799
PSNR_SSIM_assassin_st4_360p30fps_34.csv,4.32799
PSNR_SSIM_assassin_st4_360p30fps_37.csv,4.32799
PSNR_SSIM_assassin_st4_360p30fps_40.csv,4.32799
PSNR_SSIM_assassin_st4_360p30fps_43.csv,4.32799
PSNR_SSIM_assassin_st4_360p30fps_48.csv,4.32799
