video1,video2,PSNR_YYUV,SSIM (precise)_YYUV
assassin_st4_480p30fps.yuv,v205_avc_0B/assassin_st4_480p30fps_25.264,40.83545,0.96707
assassin_st4_480p30fps.yuv,v205_avc_0B/assassin_st4_480p30fps_28.264,38.73306,0.95198
assassin_st4_480p30fps.yuv,v205_avc_0B/assassin_st4_480p30fps_31.264,36.79629,0.93406
assassin_st4_480p30fps.yuv,v205_avc_0B/assassin_st4_480p30fps_34.264,34.61621,0.90788
assassin_st4_480p30fps.yuv,v205_avc_0B/assassin_st4_480p30fps_37.264,32.70138,0.88135
assassin_st4_480p30fps.yuv,v205_avc_0B/assassin_st4_480p30fps_40.264,30.90392,0.85350
assassin_st4_480p30fps.yuv,v205_avc_0B/assassin_st4_480p30fps_43.264,29.23196,0.82625
assassin_st4_480p30fps.yuv,v205_avc_0B/assassin_st4_480p30fps_48.264,26.49513,0.78214
assassin_st4_480p30fps.yuv,v205_avc_3B/assassin_st4_480p30fps_25.264,41.08722,0.96875
assassin_st4_480p30fps.yuv,v205_avc_3B/assassin_st4_480p30fps_28.264,38.90562,0.95367
assassin_st4_480p30fps.yuv,v205_avc_3B/assassin_st4_480p30fps_31.264,37.12088,0.93786
assassin_st4_480p30fps.yuv,v205_avc_3B/assassin_st4_480p30fps_34.264,35.12494,0.91515
assassin_st4_480p30fps.yuv,v205_avc_3B/assassin_st4_480p30fps_37.264,33.34452,0.89155
assassin_st4_480p30fps.yuv,v205_avc_3B/assassin_st4_480p30fps_40.264,31.58423,0.86537
assassin_st4_480p30fps.yuv,v205_avc_3B/assassin_st4_480p30fps_43.264,29.83031,0.83698
assassin_st4_480p30fps.yuv,v205_avc_3B/assassin_st4_480p30fps_48.264,26.99511,0.78994
assassin_st4_480p30fps.yuv,x264_0B/assassin_st4_480p30fps_25.h264,40.76248,0.96590
assassin_st4_480p30fps.yuv,x264_0B/assassin_st4_480p30fps_28.h264,38.69978,0.95060
assassin_st4_480p30fps.yuv,x264_0B/assassin_st4_480p30fps_31.h264,36.77486,0.93233
assassin_st4_480p30fps.yuv,x264_0B/assassin_st4_480p30fps_34.h264,34.85046,0.91038
assassin_st4_480p30fps.yuv,x264_0B/assassin_st4_480p30fps_37.h264,33.05988,0.88668
assassin_st4_480p30fps.yuv,x264_0B/assassin_st4_480p30fps_40.h264,31.18888,0.85875
assassin_st4_480p30fps.yuv,x264_0B/assassin_st4_480p30fps_43.h264,29.37668,0.82885
assassin_st4_480p30fps.yuv,x264_0B/assassin_st4_480p30fps_48.h264,26.24617,0.77185
assassin_st4_480p30fps.yuv,x264_3B/assassin_st4_480p30fps_25.h264,40.89536,0.96684
assassin_st4_480p30fps.yuv,x264_3B/assassin_st4_480p30fps_28.h264,38.84291,0.95188
assassin_st4_480p30fps.yuv,x264_3B/assassin_st4_480p30fps_31.h264,36.93399,0.93409
assassin_st4_480p30fps.yuv,x264_3B/assassin_st4_480p30fps_34.h264,35.02309,0.91256
assassin_st4_480p30fps.yuv,x264_3B/assassin_st4_480p30fps_37.h264,33.23158,0.88896
assassin_st4_480p30fps.yuv,x264_3B/assassin_st4_480p30fps_40.h264,31.35308,0.86113
assassin_st4_480p30fps.yuv,x264_3B/assassin_st4_480p30fps_43.h264,29.51926,0.83114
assassin_st4_480p30fps.yuv,x264_3B/assassin_st4_480p30fps_48.h264,26.33824,0.77398
assassin_st4_480p30fps.yuv,x264_3B_defaultGOP/assassin_st4_480p30fps_25.h264,40.86248,0.96663
assassin_st4_480p30fps.yuv,x264_3B_defaultGOP/assassin_st4_480p30fps_28.h264,38.81322,0.95166
assassin_st4_480p30fps.yuv,x264_3B_defaultGOP/assassin_st4_480p30fps_31.h264,36.90798,0.93388
assassin_st4_480p30fps.yuv,x264_3B_defaultGOP/assassin_st4_480p30fps_34.h264,35.00175,0.91238
assassin_st4_480p30fps.yuv,x264_3B_defaultGOP/assassin_st4_480p30fps_37.h264,33.21372,0.88881
assassin_st4_480p30fps.yuv,x264_3B_defaultGOP/assassin_st4_480p30fps_40.h264,31.33766,0.86100
assassin_st4_480p30fps.yuv,x264_3B_defaultGOP/assassin_st4_480p30fps_43.h264,29.50300,0.83094
assassin_st4_480p30fps.yuv,x264_3B_defaultGOP/assassin_st4_480p30fps_48.h264,26.33181,0.77400
